word_fr;word_en;phrase_fr;phrase_en
écrire;to write; c'est pour cela que j'écris ; that's why I'm writing 
position;position; ils ne changent pas de position à ce sujet ; they aren't changing positions on this subject 
développement;development; nous allons poursuivre le développement de nos activités ; we will pursue the development of our activities
défendre;to defend, forbid; je pensais que je pouvais me défendre ; I thought I could defend myself 
chef;head, leader, chief; vous surestimez le pouvoir des chefs d'Etat ; you overestimate the power of the heads of state 
économie;economy; les exportations sont le moteur de notre économie ; exports are what drive our economy 
effort;effort; ils doivent faire un effort pour nous comprendre ; they have to make an effort to understand us
parmi;among; il y en a un parmi vous qui est un démon ; one among you is a demon 
membre;member; j'espère que tous les membres seront présents ; I hope that all the members will be present 
tirer;to pull, fire; à mon ordre, tirez sur ce câble ; when I give the word, pull on this cable 
ancien;"ancient; former"; je dis merci à tous les anciens combattants ; I thank all the combat veterans 
beau;handsome, fine, right; ce sont là de belles paroles, mais des paroles creuses ; those are pretty words, but empty ones 
plein;full; l'église est pleine ; the church is full 
juger;to judge; ce n'est pas à moi de juger ça ; it's not my place to judge that 
éviter;to avoid; on ne peut évidemment pas l'éviter ; we obviously can't avoid that 
soir;evening; il est environ neuf heures du soir ; it's about nine o'clock in the evening 
personnel;personnel, personal; vous semblez vous inspirer de votre vie personnelle pour écrire ; you seem to draw inspiration from your own personal life in writing
titre;title; ils nous accuseront à juste titre ; they are rightly accusing us 
parti;party; il n'y a qu'un parti à blâmer ; there's only one party to blame 
objet;"objective; object"; Mathias remit l'objet dans sa poche ; Mathias returned the object into his pocket 
unique;unique; j'ai longtemps cru que tu étais unique ; I have long believed that you were unique 
souhaiter;to wish; l'équipage vous souhaite un bon voyage ; the crew wishes you a pleasant voyage 
afin;order to, so that; fixer des cordes afin de descendre en rappel ; set some ropes so that you can rappel down 
peine;effort, trouble; mes jambes ne me soutenaient qu'à peine ; my legs barely kept me standing 
malgré;despite, in spite of; nous serons bons amis malgré tout ; we will be good friends in spite of it all 
période;period; j'étais amoureuse pendant une brève période de ma vie ; I was in love for a brief period of my life
engager;to hire, involve; nous sommes engagés dans un travail de réflexion ; we're involved in some reflective thinking
réaliser;to realize, achieve; je réaliserai ton rêve ; I will achieve your dream 
parfois;sometimes; il est parfois sage d'être un peu fou ; sometimes it's wise to be a little bit crazy 
lors;at the time of; je vous ai vu lors de votre dernière visite ; I saw you at the time of our last visit 
sérieux;serious; mon thème est sérieux, mais mon texte est rigolo ; my topic is serious, but my text is comical 
aider;to help, assist; bonjour, je peux vous aider? ; hello, can I help you? 
voix;voice; viens, me dit-elle d'une voix brève ; come, she said in a curt voice 
terminer;to finish, end,; va terminer ton petit déjeuner ; go finish your breakfast 
base;base; les matériaux de base sont toujours les mêmes ; the basic materials are always the same 
espérer;to hope; j'espère obtenir une réponse claire ; I hope to obtain a clear response 
main;hand; nous avons marché main dans la main ; we walked hand-in-hand 
gros;nadj(pl) big; ce n'était pas un gros chien ; it wasn't a large dog 
arrêter;to stop, arrest; les deux dirigeants ont été arrêtés par la police ; the two leaders were arrested by the police 
retour;return; votre retour pose énormément de problèmes ; your return causes huge problems 
prêt;ready; le dîner est prêt! ; supper is ready! 
occasion;chance, opportunity; quand l'occasion se présentera, elle reviendra souvent ; when the opportunity arises, she'll return often
député;deputy, parliamentary delegate; j'ai écouté plusieurs interventions des députés ; I heard several deputies' speeches 
regarder;to look, watch; je regarde les reportages depuis ce matin ; I've been watching news reports since this morning
plupart;the majority; la plupart des jeux vidéo violents sont japonais ; most violent video games are Japanese 
deuxième;second; tout le monde a besoin d'une deuxième opinion ; everybody needs a second opinion 
résultat;result, follow-up; nous avons pu constater les résultats hier ; we were able to notice the results yesterday 
écouter;to listen to; je pouvais l'écouter pendant des heures ; I could listen to him for hours 
terre;earth, world, soil, land; que la paix soit sur terre, dès maintenant ; may peace reign on the earth henceforth 
valoir;to be worth; c'est fini. ça vaut pas la peine ; it's over. it's not worth it 
dollar;dollar;tu veux combien? 10 dollars;you want how much? 10 dollars
intérieur;interior, inside; je sentais mon cœur battre à l'intérieur ; I felt my heart beating within me 
page;page; j'écrivis les premières pages d'un roman ; I was writing the first pages of a novel 
confiance;confidence, trust; je ne peux pas lui faire confiance ; I can't trust him 
choix;choice; elle n'a pas d'autres choix que de rester ; she has no other choice but to stay 
prévoir;to foresee, anticipate;son mandat présidentiel est prévu pour s'achever en 2007;his presidential mandate is due to expire in 2007
chance;"luck; chance"; c'est notre dernière chance ; it's our last chance 
notamment;notably; on ignore notamment si des gendarmes figurent parmi les victimes ; at the moment it's unsure whether policemen are among the victims
type;"type; guy"; ce type de pêche est en cours d'abandon ; this type of fishing is disappearing 
but;goal, aim, objective, purpose; notre premier but est toujours de respecter l'intégrité de la famille ; our primary objective is to always respect the integrity of the family
matin;morning; ce matin, je me suis réveillée tôt ; this morning I woke up early 
grave;serious, grave; ce n'est peut-être pas si grave que ça ; maybe it's not quite that serious 
prise;grip, hold, seizure, catch; il y a souvent des prises de becs entre les deux ; there were frequent squabbles between the two of them
européen;European; vous avez fait une tournée européenne ; you toured around Europe 
étude;study; il existe une vie après les études ; there is life after school 
principe;principle; tel est le premier principe de l'existentialisme ; that is the main principle of existentialism 
remplacer;to replace; tu dois être prêt à nous remplacer, le cas échéant ; you must be ready to replace us, if need be 
avancer;to advance, move forward; c'est moi qui ai avancé les fonds ; I'm the one who advanced the funds 
six;six; elle était enceinte de six mois ; she was six months pregnant 
nécessaire;necessary, required; je ne pense pas qu'il soit nécessaire de la distribuer ; I don't think it will be necessary to distribute it
activité;activity; certains sont impliqués dans des activités terroristes ; some of them are implicated in terrorist activities
valeur;value, worth; on a payé dix fois sa valeur ; we paid ten times what it was worth 
marquer;to mark; cet épisode tragique marque la fin d'une aventure ; this tragic episode marks the end of an adventure
entier;whole, full; le monde entier est contre nous ; the whole world is against us 
réponse;answer, response; il donne une réponse claire à cette question ; he gives a clear answer to that question 
aide;help, assistance; j'ai besoin d'un peu d'aide ; I need a little help 
principal;principal; trouver le rôle principal s'est révélé assez problématique ; finding the lead role turned out to be a problem
élever;to grow, lift, raise; des murmures s'élevèrent autour de lui ; murmuring arose all around him 
